Points0,Points1,Points2,,intensity,filtered
81,191.5373766,156,,617.2732,0
97,191.5373766,59,,1159.2066,0
27,191.5373766,142,,884.2496,0
80,191.5373766,66,,1080.4144,0
70,191.5373766,124,,782.0324,0
61,191.5373766,26,,893.655,0
139,191.5373766,58,,1053.6658,0
137,191.5373766,163,,736.788,0
169,191.5373766,131,,712.3456,0
0,191.5373766,127,,1197.741,0
68,191.5373766,66,,836.9744,0
52,191.5373766,144,,850.0324,0
183,191.5373766,94,,681.4582,1.6814
57,191.5373766,61,,987.4668,0.4524
94,190.9732017,0,,1284.55,7.5888
174,190.9732017,8,,911.8334,4.7334
97,190.9732017,5,,1186.8376,0
103,190.9732017,27,,1242.3034,8.1618
143,190.9732017,50,,989.4212,0
163,190.9732017,70,,951.0494,0
162,190.9732017,95,,1150.111,4
138,190.9732017,110,,1059.4084,0.5856
107,190.9732017,117,,1074.6978,5.3806
97,190.9732017,104,,902.9606,4.054
114,190.9732017,93,,894.9482,2.1276
121,190.9732017,75,,1030.6856,0
178,190.9732017,153,,700.4288,0
148,190.9732017,176,,686.7998,0
7,190.9732017,178,,1055.9724,19.1862
2,190.9732017,168,,1056.2848,0.8788
17,190.9732017,116,,1162.998,9.3096
31,190.9732017,41,,1060.1292,5.9564
116,190.9732017,146,,751.15,2.7068
118,190.9732017,17,,943.9668,1.198
149,190.9732017,38,,797.0516,0
194,190.9732017,154,,816.2594,0
55,190.9732017,167,,749.4554,0
59,190.9732017,96,,1075.2998,0
83,190.9732017,119,,893.9762,0
111,190.9732017,175,,685.653,0
81,190.9732017,156,,615.048,0
97,190.9732017,59,,1161.3728,2.1662
27,190.9732017,142,,879.4572,0
80,190.9732017,66,,1082.035,1.6206
70,190.9732017,124,,780.0324,0
61,190.9732017,26,,882.7044,0
139,190.9732017,58,,1049.1442,0
137,190.9732017,163,,734.0976,0
169,190.9732017,131,,708.1084,0
0,190.9732017,127,,1199.2198,1.4788
68,190.9732017,66,,827.6686,0
52,190.9732017,144,,849.5264,0
183,190.9732017,94,,678.2874,0
57,190.9732017,61,,985.193,0
94,190.4090268,0,,1308.7722,24.2222
174,190.4090268,8,,907.2724,0
97,190.4090268,5,,1208.8438,22.0062
103,190.4090268,27,,1237.29,0
143,190.4090268,50,,986.6122,0
163,190.4090268,70,,957.71,6.6606
162,190.4090268,95,,1147.6316,0
138,190.4090268,110,,1059.1342,0
107,190.4090268,117,,1076.6046,1.9068
97,190.4090268,104,,903.1226,0.162
114,190.4090268,93,,893.9534,0
121,190.4090268,75,,1044.4736,13.788
178,190.4090268,153,,687.7326,0
148,190.4090268,176,,686.2666,0
7,190.4090268,178,,1064.4234,8.451
2,190.4090268,168,,1051.0404,0
17,190.4090268,116,,1175.521,12.523
31,190.4090268,41,,1067.473,7.3438
116,190.4090268,146,,762.4204,11.2704
118,190.4090268,17,,950.0292,6.0624
149,190.4090268,38,,797.9258,0.8742
194,190.4090268,154,,801.819,0
55,190.4090268,167,,746.5714,0
59,190.4090268,96,,1065.0748,0
83,190.4090268,119,,899.538,5.5618
111,190.4090268,175,,676.256,0
81,190.4090268,156,,613.3696,0
97,190.4090268,59,,1154.6034,0
27,190.4090268,142,,876.2876,0
80,190.4090268,66,,1074.8388,0
70,190.4090268,124,,775.6734,0
61,190.4090268,26,,883.9798,1.2754
139,190.4090268,58,,1067.2506,18.1064
137,190.4090268,163,,736.3166,2.219
169,190.4090268,131,,709.9228,1.8144
0,190.4090268,127,,1199.0394,0
68,190.4090268,66,,834.92,7.2514
52,190.4090268,144,,849.7288,0.2024
183,190.4090268,94,,678.0478,0
57,190.4090268,61,,1003.893,18.7
94,189.8448519,0,,1310.411,1.6388
174,189.8448519,8,,909.8724,2.6
97,189.8448519,5,,1202.5562,0
103,189.8448519,27,,1239.2068,1.9168
143,189.8448519,50,,990.4354,3.8232
163,189.8448519,70,,946.4516,0
162,189.8448519,95,,1147.476,0
138,189.8448519,110,,1062.2028,3.0686
107,189.8448519,117,,1074.743,0
97,189.8448519,104,,902.3796,0
114,189.8448519,93,,890.7948,0
121,189.8448519,75,,1050.6094,6.1358
178,189.8448519,153,,680.3826,0
148,189.8448519,176,,687.0832,0.8166
7,189.8448519,178,,1055.788,0
2,189.8448519,168,,1046.748,0
17,189.8448519,116,,1174.1152,0
31,189.8448519,41,,1069.4146,1.9416
116,189.8448519,146,,758.4046,0
118,189.8448519,17,,953.0292,3
149,189.8448519,38,,790.5504,0
194,189.8448519,154,,800.2308,0
55,189.8448519,167,,744.5536,0
59,189.8448519,96,,1070.1552,5.0804
