Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
9.042,29.97001999,10.461,76,,,0,4,68,13397
9.141,29.97001999,13.035,77,,,0,4,68,10431
9.405,29.97001999,4.719,78,,,0,4,68,9494.3
9.867,29.97001999,3.927,79,,,0,4,68,9023.5
9.867,29.97001999,6.765,80,,,0,4,68,11211
10.329,29.97001999,4.455,81,,,0,4,68,9983.9
10.56,29.97001999,0.891,82,,,0,4,68,7917.4
10.923,29.97001999,3.531,83,,,0,4,68,9926.6
10.956,29.97001999,7.59,84,,,0,4,68,11193
11.451,29.97001999,9.438,85,,,1,4,68,11212
11.484,29.97001999,4.257,86,,,0,4,68,10197
11.682,29.97001999,16.335,87,,,1,4,68,7994.2
11.715,29.97001999,6.204,88,,,0,4,68,10944
11.814,29.97001999,5.412,89,,,0,4,68,10307
12.243,29.97001999,10.725,90,,,1,4,68,11070
