Points0,Points1,Points2,,intensity,filtered
116,383.0747532,146,,748.4432,0
118,383.0747532,17,,942.7688,0
149,383.0747532,38,,803.1836,0
194,383.0747532,154,,825.9356,0
55,383.0747532,167,,755.35,0
59,383.0747532,96,,1075.9142,0
83,383.0747532,119,,897.2142,0
111,383.0747532,175,,696.3062,0
81,383.0747532,156,,617.2732,0
97,383.0747532,59,,1159.2066,0
27,383.0747532,142,,884.2496,0
80,383.0747532,66,,1080.4144,0
70,383.0747532,124,,782.0324,0
61,383.0747532,26,,893.655,0
139,383.0747532,58,,1053.6658,0
137,383.0747532,163,,736.788,0
169,383.0747532,131,,712.3456,0
0,383.0747532,127,,1197.741,0
68,383.0747532,66,,836.9744,0
52,383.0747532,144,,850.0324,0
183,383.0747532,94,,681.4582,1.6814
57,383.0747532,61,,987.4668,0.4524
94,381.9464034,0,,1284.55,7.5888
174,381.9464034,8,,911.8334,4.7334
97,381.9464034,5,,1186.8376,0
103,381.9464034,27,,1242.3034,8.1618
143,381.9464034,50,,989.4212,0
163,381.9464034,70,,951.0494,0
162,381.9464034,95,,1150.111,4
138,381.9464034,110,,1059.4084,0.5856
107,381.9464034,117,,1074.6978,5.3806
97,381.9464034,104,,902.9606,4.054
114,381.9464034,93,,894.9482,2.1276
121,381.9464034,75,,1030.6856,0
178,381.9464034,153,,700.4288,0
148,381.9464034,176,,686.7998,0
7,381.9464034,178,,1055.9724,19.1862
2,381.9464034,168,,1056.2848,0.8788
17,381.9464034,116,,1162.998,9.3096
31,381.9464034,41,,1060.1292,5.9564
116,381.9464034,146,,751.15,2.7068
118,381.9464034,17,,943.9668,1.198
149,381.9464034,38,,797.0516,0
194,381.9464034,154,,816.2594,0
55,381.9464034,167,,749.4554,0
59,381.9464034,96,,1075.2998,0
83,381.9464034,119,,893.9762,0
111,381.9464034,175,,685.653,0
81,381.9464034,156,,615.048,0
97,381.9464034,59,,1161.3728,2.1662
27,381.9464034,142,,879.4572,0
80,381.9464034,66,,1082.035,1.6206
70,381.9464034,124,,780.0324,0
61,381.9464034,26,,882.7044,0
139,381.9464034,58,,1049.1442,0
137,381.9464034,163,,734.0976,0
169,381.9464034,131,,708.1084,0
0,381.9464034,127,,1199.2198,1.4788
