Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
80,68.3,66,,1102.0998,0,14,30,2
70,68.3,124,,788.9054,0,14,31,1
61,68.3,26,,902.5564,2.1912,14,32,3
139,68.3,58,,1061.6356,2.3468,14,33,1
137,68.3,163,,740.7,0,14,34,1
169,68.3,131,,719.0714,0,14,35,3
0,68.3,127,,1212.3902,0.505,14,36,2
68,68.3,66,,845.0744,4.1744,14,37,1
52,68.3,144,,855.3614,0,14,38,3
183,68.3,94,,685.8082,0,14,39,2
57,68.3,61,,996.9668,3.5832,14,40,1
94,68.1,0,,1279.9556,0,15,1,2
174,68.1,8,,916.6416,0,15,2,2
97,68.1,5,,1205.1,0,15,3,3
103,68.1,27,,1241.4114,0,15,4,1
143,68.1,50,,1005.4696,0,15,5,2
163,68.1,70,,953.1078,0,15,6,1
162,68.1,95,,1149.2334,0,15,7,1
138,68.1,110,,1064.9256,0,15,8,1
107,68.1,117,,1072.663,1.761,15,9,0
97,68.1,104,,901.5928,0,15,10,2
114,68.1,93,,897.4792,1.0224,15,11,2
121,68.1,75,,1033.9858,0.4144,15,12,1
178,68.1,153,,726.0536,0,15,13,0
148,68.1,176,,697.311,0,15,14,1
7,68.1,178,,1039.5724,0,15,15,1
2,68.1,168,,1053.729,0,15,16,3
17,68.1,116,,1161.7308,0,15,17,2
31,68.1,41,,1057.8644,0,15,18,1
116,68.1,146,,751.8774,0,15,19,1
118,68.1,17,,947.6958,0,15,20,1
149,68.1,38,,810.5052,0,15,21,1
194,68.1,154,,831.9286,0,15,22,1
55,68.1,167,,755.8286,0,15,23,2
59,68.1,96,,1083.8392,7.041,15,24,3
83,68.1,119,,898.2238,0,15,25,1
111,68.1,175,,696.703,0,15,26,1
81,68.1,156,,617.901,0,15,27,1
97,68.1,59,,1163.1406,0,15,28,1
27,68.1,142,,887.1554,0,15,29,1
80,68.1,66,,1093.1644,0,15,30,1
70,68.1,124,,789.4734,0.568,15,31,1
61,68.1,26,,898.1362,0,15,32,3
139,68.1,58,,1054.2456,0,15,33,1
137,68.1,163,,738.9666,0,15,34,1
169,68.1,131,,712.617,0,15,35,2
0,68.1,127,,1216.882,4.4918,15,36,3
68,68.1,66,,842.1372,0,15,37,1
52,68.1,144,,851.4566,0,15,38,2
183,68.1,94,,679.7768,0,15,39,1
57,68.1,61,,987.0144,0,15,40,1
94,67.9,0,,1276.9612,0,16,1,1
174,67.9,8,,907.1,0,16,2,1
97,67.9,5,,1197.0688,0,16,3,2
